"time{s}","Gain\output"
0,0
0,0
0,0
0.1,0.1
0.2,0.2
0.3,0.299
0.4,0.396
0.5,0.49001
0.6,0.58006
0.7,0.6652099
0.8,0.7445592
0.9,0.817256401
1,0.88250801
1.1,0.93958705499
1.2,0.98784101988
1.3,1.0266991142201
1.4,1.0556787983614
1.5,1.0743914913605
1.6,1.08254739637598
1.7,1.07995938647786
1.8,1.06654590261598
1.9,1.04233282488933
2,1.00745428813651
2.1,0.962152423134796
2.2,0.906776015251719
2.3,0.841778083137295
2.4,0.767712390870353
2.5,0.685228917772038
2.6,0.59506832076502
2.7,0.498055434580281
2.8,0.395091865187892
2.9,0.2871477414497
3,0.17525269905963
3.1,0.0604861792550623
3.2,-0.0560328675401016
3.3,-0.173156776127816
3.4,-0.28972035604013
3.5,-0.404552368191165
3.6,-0.516487176781799
3.7,-0.624376461690521
3.8,-0.727100874831426
3.9,-0.823581523355425
4,-0.91279116313111
4.1,-0.993764987673241
4.2,-1.06561090058406
4.3,-1.12751916361815
4.4,-1.17877131764639
4.5,-1.21874828003846
4.6,-1.24693752925406
4.7,-1.26293929566928
4.8,-1.26647168679195
4.9,-1.25737468495794
5,-1.235612966256
5.1,-1.20127750070448
5.2,-1.15458590549041
5.3,-1.09588153526929
5.4,-1.02563130599326
5.5,-0.944422261364546
5.6,-0.852956903675896
5.7,-0.7520473233736
5.8,-0.642608174034546
5.9,-0.525648551461755
5.99999999999999,-0.402262847148619
6.09999999999999,-0.273620657320865
6.19999999999999,-0.140955839021626
6.29999999999999,-0.00555481414917736
6.39999999999999,0.131255769113487
6.49999999999999,0.268121900517644
6.59999999999999,0.403675474230665
6.69999999999999,0.53654782893851
6.79999999999999,0.665383428904049
6.89999999999999,0.788853550580202
6.99999999999999,0.905669837967315
7.09999999999999,1.01459758984863
7.19999999999999,1.11446864335026
7.29999999999999,1.20419372095342
7.39999999999999,1.28277411212306
7.49999999999999,1.34931256608318
7.59999999999999,1.40302327892206
7.69999999999999,1.44324086610011
7.79999999999999,1.46942822048895
7.89999999999999,1.48118316621678
7.99999999999999,1.47824382973972
8.09999999999999,1.46049266160049
8.19999999999999,1.42795905516387
8.29999999999999,1.38082052211124
8.39999999999999,1.31940239850697
8.49999999999999,1.24417606968159
8.59999999999999,1.15575571687114
8.69999999999999,1.05489360336388
8.79999999999998,0.942473932687898
8.89999999999998,0.819505325978283
8.99999999999998,0.687111979941788
9.09999999999998,0.54652358064551
9.19999999999998,0.399064061549815
9.29999999999998,0.246139306647664
9.39999999999998,0.0892239111300158
9.49999999999998,-0.0701528774541096
9.59999999999998,-0.230421905149535
9.69999999999998,-0.389989404070419
9.79999999999998,-0.547252683939809
