time,s4
0.0,0.0
0.1,0.0
0.2,0.1
0.3,0.2
0.4,0.299
0.5,0.396
0.6,0.49001
0.7,0.58006
0.8,0.6652099
0.9,0.7445592
1.0,0.8172564
1.1,0.882508
1.2,0.9395871
1.3,0.987841
1.4,1.026699
1.5,1.055679
1.6,1.074391
1.7,1.082547
1.8,1.079959
1.9,1.066546
2.0,1.042333
2.1,1.007454
2.2,0.9621524
2.3,0.906776
2.4,0.8417781
2.5,0.7677124
2.6,0.6852289
2.7,0.5950683
2.8,0.4980554
2.9,0.3950919
3.0,0.2871477
3.1,0.1752527
3.2,0.06048618
3.3,-0.05603287
3.4,-0.1731568
3.5,-0.2897204
3.6,-0.4045524
3.7,-0.5164872
3.8,-0.6243765
3.9,-0.7271009
4.0,-0.8235815
4.1,-0.9127912
4.2,-0.993765
4.3,-1.065611
4.4,-1.127519
4.5,-1.178771
4.6,-1.218748
4.7,-1.246938
4.8,-1.262939
4.9,-1.266472
5.0,-1.257375
5.1,-1.235613
5.2,-1.201278
5.3,-1.154586
5.4,-1.095882
5.5,-1.025631
5.6,-0.9444223
5.7,-0.8529569
5.8,-0.7520473
5.9,-0.6426082
6.0,-0.5256486
6.1,-0.4022628
6.2,-0.2736207
6.3,-0.1409558
6.4,-0.005554814
6.5,0.1312558
6.6,0.2681219
6.7,0.4036755
6.8,0.5365478
6.9,0.6653834
7.0,0.7888536
7.1,0.9056698
7.2,1.014598
7.3,1.114469
7.4,1.204194
7.5,1.282774
7.6,1.349313
7.7,1.403023
7.8,1.443241
7.9,1.469428
8.0,1.481183
8.1,1.478244
8.2,1.460493
8.3,1.427959
8.4,1.380821
8.5,1.319402
8.6,1.244176
8.7,1.155756
8.8,1.054894
8.9,0.9424739
9.0,0.8195053
9.1,0.687112
9.2,0.5465236
9.3,0.3990641
9.4,0.2461393
9.5,0.08922391
9.6,-0.07015288
9.7,-0.2304219
9.8,-0.3899894
9.9,-0.5472527
10.0,-0.7006161
10.1,-0.8485069
10.2,-0.9893916
10.3,-1.121791
10.4,-1.244297
10.5,-1.355585
10.6,-1.45443
10.7,-1.539719
10.8,-1.610463
10.9,-1.665811
11.0,-1.705054
11.1,-1.727638
11.2,-1.733173
11.3,-1.72143
11.4,-1.692357
11.5,-1.646068
11.6,-1.582857
11.7,-1.503184
11.8,-1.407683
11.9,-1.29715
12.0,-1.172541
12.1,-1.034959
12.2,-0.8856529
12.3,-0.7259967
12.4,-0.557484
12.5,-0.3817113
12.6,-0.2003638
12.7,-0.01519915
12.8,0.1719691
12.9,0.3592894
13.0,0.54489
13.1,0.7268976
13.2,0.9034564
13.3,1.072746
13.4,1.233001
13.5,1.382529
13.6,1.519727
13.7,1.643099
13.8,1.751275
13.9,1.843019
14.0,1.91725
14.1,1.973052
14.2,2.00968
14.3,2.026579
14.4,2.02338
14.5,1.999916
14.6,1.956218
14.7,1.89252
14.8,1.809261
14.9,1.707076
15.0,1.586799
15.1,1.449451
15.2,1.296235
15.3,1.128524
15.4,0.9478513
15.5,0.7558932
15.6,0.5544566
15.7,0.345461
15.8,0.1309208
15.9,-0.08707391
16.0,-0.3063779
16.1,-0.5248111
16.2,-0.7401805
16.3,-0.9503019
16.4,-1.153021
16.5,-1.346238
16.6,-1.527924
16.7,-1.696148
16.8,-1.849093
16.9,-1.985076
17.0,-2.102568
17.1,-2.20021
17.2,-2.276826
17.3,-2.331439
17.4,-2.363285
17.5,-2.371816
17.6,-2.356714
17.7,-2.317894
17.8,-2.255507
17.9,-2.169941
18.0,-2.06182
18.1,-1.931999
18.2,-1.781561
18.3,-1.611802
18.4,-1.424228
18.5,-1.220535
18.6,-1.002601
18.7,-0.7724609
18.8,-0.532295
18.9,-0.2844044
19.0,-0.03119089
19.1,0.2248667
19.2,0.4812361
19.3,0.7353569
19.4,0.9846654
19.5,1.22662
19.6,1.458728
19.7,1.67857
19.8,1.883825
19.9,2.072294
20.0,2.241925
20.1,2.390833
20.2,2.517321
20.3,2.619902
20.4,2.697309
20.5,2.748517
20.6,2.772752
20.7,2.769501
20.8,2.738524
20.9,2.679851
21.0,2.593793
21.1,2.480936
21.2,2.342142
21.3,2.178538
21.4,1.991513
21.5,1.782702
21.6,1.553977
21.7,1.307424
21.8,1.045331
21.9,0.7701646
22.0,0.4845445
22.1,0.1912228
22.2,-0.1069444
22.3,-0.4070238
22.4,-0.7060337
22.5,-1.000973
22.6,-1.288853
22.7,-1.566722
22.8,-1.831704
22.9,-2.081017
23.0,-2.312014
23.1,-2.522201
23.2,-2.709268
23.3,-2.871112
23.4,-3.005864
23.5,-3.111905
23.6,-3.187887
23.7,-3.23275
23.8,-3.245734
23.9,-3.226391
24.0,-3.17459
24.1,-3.090525
24.2,-2.974715
24.3,-2.827999
24.4,-2.651536
24.5,-2.446793
24.6,-2.215535
24.7,-1.959809
24.8,-1.681928
24.9,-1.384448
25.0,-1.070149
25.1,-0.7420057
25.2,-0.4031609
25.3,-0.05689596
25.4,0.2934006
25.5,0.644266
25.6,0.9921975
25.7,1.333686
25.8,1.665253
25.9,1.983483
26.0,2.285061
26.1,2.566803
26.2,2.825695
26.3,3.058919
26.4,3.263886
26.5,3.438264
26.6,3.580003
26.7,3.687359
26.8,3.758916
26.9,3.793598
27.0,3.790692
27.1,3.749849
27.2,3.6711
27.3,3.554852
27.4,3.401893
27.5,3.213386
27.6,2.99086
27.7,2.7362
27.8,2.451631
27.9,2.1397
28.0,1.803253
28.1,1.445409
28.2,1.069532
28.3,0.6792016
28.4,0.2781756
28.5,-0.1296424
28.6,-0.5402422
28.7,-0.9495455
28.8,-1.353446
28.9,-1.747852
29.0,-2.128723
29.1,-2.492115
29.2,-2.834221
29.3,-3.151405
29.4,-3.440247
29.5,-3.697575
29.6,-3.9205
29.7,-4.10645
29.8,-4.253194
29.9,-4.358874
30.0,-4.422023
30.1,-4.441582
30.2,-4.416921
30.3,-4.347845
30.4,-4.234599
30.5,-4.077875
30.6,-3.878804
30.7,-3.638955
30.8,-3.360318
30.9,-3.045292
31.0,-2.696662
31.1,-2.317579
31.2,-1.91153
31.3,-1.482305
31.4,-1.033965
31.5,-0.5708011
31.6,-0.09729802
31.7,0.3819131
31.8,0.8620972
31.9,1.338462
32.0,1.806206
32.1,2.260565
32.2,2.696863
32.3,3.110554
32.4,3.497277
32.5,3.852895
32.6,4.17354
32.7,4.455655
32.8,4.696036
32.9,4.891859
33.0,5.040723
33.1,5.140668
33.2,5.190205
33.3,5.188336
33.4,5.134565
33.5,5.028911
33.6,4.871911
33.7,4.664621
33.8,4.408613
33.9,4.105958
34.0,3.759218
34.1,3.371418
34.2,2.946025
34.3,2.486918
34.4,1.998352
34.5,1.484916
34.6,0.9514959
34.7,0.4032272
34.8,-0.1545565
34.9,-0.7163724
35.0,-1.276643
35.1,-1.82975
35.2,-2.37009
35.3,-2.892133
35.4,-3.390474
35.5,-3.859895
35.6,-4.295411
35.7,-4.692328
35.8,-5.04629
35.9,-5.35333
36.0,-5.609906
36.1,-5.812949
36.2,-5.959894
36.3,-6.048708
36.4,-6.077924
36.5,-6.046653
36.6,-5.954602
36.7,-5.802085
36.8,-5.590022
36.9,-5.319938
37.0,-4.993954
37.1,-4.61477
37.2,-4.185647
37.3,-3.710376
37.4,-3.193249
37.5,-2.639018
37.6,-2.052855
37.7,-1.440301
37.8,-0.8072185
37.9,-0.1597333
38.0,0.4958242
38.1,1.152979
38.2,1.805176
38.3,2.445842
38.4,3.068457
38.5,3.666614
38.6,4.234086
38.7,4.764892
38.8,5.253357
38.9,5.694173
39.0,6.082455
39.1,6.413796
39.2,6.684312
