time,s4
0.0,0.0
0.01,0.003333333
0.02,0.01333331
0.03,0.02333289
0.04,0.03333113
0.05,0.04332704
0.06,0.05331961
0.07,0.06330785
0.08,0.07329076
0.09,0.08326734
0.1,0.09323659
0.11,0.1031975
0.12,0.1131491
0.13,0.1230904
0.14,0.1330204
0.15,0.142938
0.16,0.1528424
0.17,0.1627324
0.18,0.1726072
0.19,0.1824657
0.2,0.192307
0.21,0.20213
0.22,0.2119337
0.23,0.2217173
0.24,0.2314796
0.25,0.2412198
0.26,0.2509369
0.27,0.2606298
0.28,0.2702976
0.29,0.2799394
0.3,0.2895541
0.31,0.2991408
0.32,0.3086986
0.33,0.3182265
0.34,0.3277235
0.35,0.3371887
0.36,0.3466211
0.37,0.3560198
0.38,0.3653838
0.39,0.3747122
0.4,0.3840041
0.41,0.3932585
0.42,0.4024746
0.43,0.4116512
0.44,0.4207877
0.45,0.429883
0.46,0.4389362
0.47,0.4479464
0.48,0.4569127
0.49,0.4658342
0.5,0.4747101
0.51,0.4835393
0.52,0.4923211
0.53,0.5010545
0.54,0.5097387
0.55,0.5183728
0.56,0.5269559
0.57,0.5354872
0.58,0.5439658
0.59,0.5523909
0.6,0.5607615
0.61,0.5690769
0.62,0.5773362
0.63,0.5855387
0.64,0.5936833
0.65,0.6017695
0.66,0.6097962
0.67,0.6177628
0.68,0.6256684
0.69,0.6335123
0.7,0.6412936
0.71,0.6490115
0.72,0.6566653
0.73,0.6642542
0.74,0.6717774
0.75,0.6792342
0.76,0.6866238
0.77,0.6939455
0.78,0.7011986
0.79,0.7083822
0.8,0.7154957
0.81,0.7225384
0.82,0.7295096
0.83,0.7364084
0.84,0.7432344
0.85,0.7499867
0.86,0.7566647
0.87,0.7632676
0.88,0.7697949
0.89,0.7762459
0.9,0.7826199
0.91,0.7889163
0.92,0.7951344
0.93,0.8012737
0.94,0.8073334
0.95,0.813313
0.96,0.8192118
0.97,0.8250294
0.98,0.830765
0.99,0.8364181
1.0,0.8419881
1.01,0.8474745
1.02,0.8528767
1.03,0.8581941
1.04,0.8634263
1.05,0.8685726
1.06,0.8736326
1.07,0.8786058
1.08,0.8834916
1.09,0.8882895
1.1,0.8929991
1.11,0.8976198
1.12,0.9021513
1.13,0.9065929
1.14,0.9109444
1.15,0.9152052
1.16,0.9193749
1.17,0.9234531
1.18,0.9274394
1.19,0.9313333
1.2,0.9351345
1.21,0.9388425
1.22,0.9424571
1.23,0.9459777
1.24,0.9494041
1.25,0.9527359
1.26,0.9559728
1.27,0.9591144
1.28,0.9621604
1.29,0.9651105
1.3,0.9679644
1.31,0.9707217
1.32,0.9733823
1.33,0.9759458
1.34,0.9784119
1.35,0.9807805
1.36,0.9830512
1.37,0.9852239
1.38,0.9872982
1.39,0.989274
1.4,0.9911511
1.41,0.9929293
1.42,0.9946084
1.43,0.9961881
1.44,0.9976684
1.45,0.9990491
1.46,1.00033
1.47,1.001511
1.48,1.002592
1.49,1.003573
1.5,1.004453
1.51,1.005234
1.52,1.005913
1.53,1.006493
1.54,1.006971
1.55,1.007349
1.56,1.007627
1.57,1.007803
1.58,1.007879
1.59,1.007854
1.6,1.007728
1.61,1.007502
1.62,1.007175
1.63,1.006747
1.64,1.006218
1.65,1.005588
1.66,1.004858
1.67,1.004028
1.68,1.003097
1.69,1.002065
1.7,1.000933
1.71,0.9997012
1.72,0.9983691
1.73,0.996937
1.74,0.9954051
1.75,0.9937735
1.76,0.9920424
1.77,0.9902118
1.78,0.9882821
1.79,0.9862534
1.8,0.9841258
1.81,0.9818996
1.82,0.979575
1.83,0.9771522
1.84,0.9746315
1.85,0.972013
1.86,0.9692971
1.87,0.9664839
1.88,0.9635739
1.89,0.9605672
1.9,0.9574641
1.91,0.954265
1.92,0.9509701
1.93,0.9475798
1.94,0.9440945
1.95,0.9405143
1.96,0.9368398
1.97,0.9330712
1.98,0.9292089
1.99,0.9252533
2.0,0.9212048
2.01,0.9170638
2.02,0.9128306
2.03,0.9085057
2.04,0.9040896
2.05,0.8995826
2.06,0.8949852
2.07,0.8902979
2.08,0.885521
2.09,0.8806551
2.1,0.8757007
2.11,0.8706582
2.12,0.8655281
2.13,0.860311
2.14,0.8550073
2.15,0.8496176
2.16,0.8441424
2.17,0.8385822
2.18,0.8329376
2.19,0.8272092
2.2,0.8213975
2.21,0.815503
2.22,0.8095264
2.23,0.8034683
2.24,0.7973292
2.25,0.7911097
2.26,0.7848106
2.27,0.7784323
2.28,0.7719755
2.29,0.7654409
2.3,0.7588291
2.31,0.7521407
2.32,0.7453765
2.33,0.7385371
2.34,0.7316231
2.35,0.7246353
2.36,0.7175743
2.37,0.7104408
2.38,0.7032356
2.39,0.6959593
2.4,0.6886128
2.41,0.6811966
2.42,0.6737116
2.43,0.6661584
2.44,0.6585379
2.45,0.6508507
2.46,0.6430978
2.47,0.6352797
2.48,0.6273973
2.49,0.6194514
2.5,0.6114427
2.51,0.6033721
2.52,0.5952404
2.53,0.5870483
2.54,0.5787967
2.55,0.5704864
2.56,0.5621182
2.57,0.553693
2.58,0.5452116
2.59,0.5366748
2.6,0.5280834
2.61,0.5194384
2.62,0.5107406
2.63,0.5019909
2.64,0.49319
2.65,0.484339
2.66,0.4754387
2.67,0.4664899
2.68,0.4574936
2.69,0.4484506
2.7,0.4393619
2.71,0.4302284
2.72,0.4210509
2.73,0.4118304
2.74,0.4025677
2.75,0.3932639
2.76,0.3839199
2.77,0.3745365
2.78,0.3651147
2.79,0.3556555
2.8,0.3461597
2.81,0.3366284
2.82,0.3270625
2.83,0.3174629
2.84,0.3078306
2.85,0.2981666
2.86,0.2884718
2.87,0.2787471
2.88,0.2689937
2.89,0.2592123
2.9,0.2494041
2.91,0.2395699
2.92,0.2297108
2.93,0.2198277
2.94,0.2099216
2.95,0.1999936
2.96,0.1900446
2.97,0.1800756
2.98,0.1700876
2.99,0.1600815
3.0,0.1500585
3.01,0.1400194
3.02,0.1299654
3.03,0.1198973
3.04,0.1098163
3.05,0.09972325
3.06,0.08961923
3.07,0.07950524
3.08,0.06938229
3.09,0.05925138
3.1,0.04911354
3.11,0.03896977
3.12,0.02882109
3.13,0.01866852
3.14,0.008513057
3.15,-0.001644268
3.16,-0.01180244
3.17,-0.02196046
3.18,-0.03211729
3.19,-0.04227192
3.2,-0.05242335
3.21,-0.06257055
3.22,-0.0727125
3.23,-0.0828482
3.24,-0.09297662
3.25,-0.1030968
3.26,-0.1132076
3.27,-0.1233081
3.28,-0.1333974
3.29,-0.1434742
3.3,-0.1535378
3.31,-0.163587
3.32,-0.1736208
3.33,-0.1836383
3.34,-0.1936384
3.35,-0.2036202
3.36,-0.2135826
3.37,-0.2235246
3.38,-0.2334453
3.39,-0.2433436
3.4,-0.2532186
3.41,-0.2630692
3.42,-0.2728946
3.43,-0.2826936
3.44,-0.2924653
3.45,-0.3022088
3.46,-0.311923
3.47,-0.321607
3.48,-0.3312598
3.49,-0.3408804
3.5,-0.3504679
3.51,-0.3600213
3.52,-0.3695397
3.53,-0.3790221
3.54,-0.3884675
3.55,-0.397875
3.56,-0.4072437
3.57,-0.4165726
3.58,-0.4258608
3.59,-0.4351073
3.6,-0.4443112
3.61,-0.4534716
3.62,-0.4625876
3.63,-0.4716582
3.64,-0.4806826
3.65,-0.4896598
3.66,-0.498589
3.67,-0.5074691
3.68,-0.5162995
3.69,-0.525079
3.7,-0.533807
3.71,-0.5424824
3.72,-0.5511045
3.73,-0.5596723
3.74,-0.568185
3.75,-0.5766417
3.76,-0.5850416
3.77,-0.5933839
3.78,-0.6016676
3.79,-0.609892
3.8,-0.6180563
3.81,-0.6261595
3.82,-0.634201
3.83,-0.6421798
3.84,-0.6500952
3.85,-0.6579464
3.86,-0.6657326
3.87,-0.673453
3.88,-0.6811068
3.89,-0.6886933
3.9,-0.6962117
3.91,-0.7036612
3.92,-0.7110411
3.93,-0.7183506
3.94,-0.725589
3.95,-0.7327556
3.96,-0.7398496
3.97,-0.7468703
3.98,-0.7538171
3.99,-0.7606892
4.0,-0.7674859
4.01,-0.7742065
4.02,-0.7808504
4.03,-0.7874168
4.04,-0.7939052
4.05,-0.8003148
4.06,-0.8066451
4.07,-0.8128953
4.08,-0.8190648
4.09,-0.8251531
4.1,-0.8311594
4.11,-0.8370833
4.12,-0.842924
4.13,-0.848681
4.14,-0.8543537
4.15,-0.8599416
4.16,-0.865444
4.17,-0.8708605
4.18,-0.8761903
4.19,-0.8814332
4.2,-0.8865883
4.21,-0.8916554
4.22,-0.8966338
4.23,-0.901523
4.24,-0.9063225
4.25,-0.9110319
4.26,-0.9156507
4.27,-0.9201784
4.28,-0.9246145
4.29,-0.9289586
4.3,-0.9332102
4.31,-0.937369
4.32,-0.9414344
4.33,-0.9454061
4.34,-0.9492836
4.35,-0.9530666
4.36,-0.9567547
4.37,-0.9603474
4.38,-0.9638445
4.39,-0.9672456
4.4,-0.9705502
4.41,-0.9737582
4.42,-0.9768691
4.43,-0.9798826
4.44,-0.9827985
4.45,-0.9856163
4.46,-0.9883359
4.47,-0.9909569
4.48,-0.9934791
4.49,-0.9959021
4.5,-0.9982259
4.51,-1.00045
4.52,-1.002574
4.53,-1.004599
4.54,-1.006523
4.55,-1.008346
4.56,-1.010069
4.57,-1.011691
4.58,-1.013212
4.59,-1.014632
4.6,-1.015951
4.61,-1.017168
4.62,-1.018283
4.63,-1.019297
4.64,-1.020209
4.65,-1.021019
4.66,-1.021727
4.67,-1.022333
4.68,-1.022837
4.69,-1.023239
4.7,-1.023538
4.71,-1.023735
4.72,-1.023829
4.73,-1.023822
4.74,-1.023711
4.75,-1.023499
4.76,-1.023184
4.77,-1.022767
4.78,-1.022247
